en_type_abbr,en_type,en_cui,en,en_zh
aapp,"Amino Acid, Peptide, or Protein",C0005149|794|1380|1604|6997|10901|51535,beta-2 Microglobulin|CALB2|CR2|CD55|TDGF1|DHRS4|PPHLN1,β-2微球蛋白| calb2 | cr2 | cd55 | tdgf1 | dhrs4 | pphln1
aapp,"Amino Acid, Peptide, or Protein",C0019799|3146|10354,HMGN2 Protein|HMGB1|HMGB1P5,hmgn2蛋白| hmgb1 | hmgb1p5
aapp,"Amino Acid, Peptide, or Protein",C0020857|7916|25758|200575,IgG2A|PRRC2A|KIAA1549L|CRYGEP,igg2a | prrc2a | kiaa1549l | crygep
aapp,"Amino Acid, Peptide, or Protein",C0021018,Immunoglobulin Joining Region,免疫球蛋白连接区
aapp,"Amino Acid, Peptide, or Protein",C0021027|51750,Immunoglobulins|RTEL1,免疫球蛋白| rtel1
aapp,"Amino Acid, Peptide, or Protein",C0021027|8144,Immunoglobulins|CMS1A1,免疫球蛋白| cms1a1
aapp,"Amino Acid, Peptide, or Protein",C0021028|2217,Immunoglobulin alpha-Chains|FCGRT,免疫球蛋白α链| fcgrt
aapp,"Amino Acid, Peptide, or Protein",C0021759|1437|3918,Interleukin-5|CSF2|LAMC2,白细胞介素-5 | csf2 | lamc2
aapp,"Amino Acid, Peptide, or Protein",C0025549|972|2651|6948|7433|129685,Metallothionein II|CD74|GCNT2|TCN2|VIPR1|TAF8,金属硫蛋白ii | cd74 | gcnt2 | tcn2 | vipr1 | taf8
aapp,"Amino Acid, Peptide, or Protein",C0027385|250|470|6590|10850|26033|27295|55226|80150,Naphthol AS D Esterase|ALPP|ATHS|SLPI|CCL27|ATRNL1|PDLIM3|NAT10|ASRGL1,萘酚作为d酯酶| alpp | aths | slpi | ccl27 | atrnl1 | pdlim3 | nat10 | asrgl1
aapp,"Amino Acid, Peptide, or Protein",C0041014|4320,Triiodothyronine|MMP11,三碘甲腺原氨酸| mmp11
aapp,"Amino Acid, Peptide, or Protein",C0050808|223|1738|6043|26765,Adenovirus E3 19K Protein|ALDH9A1|DLD|SNORA63|SNORD12C,腺病毒e3 19k蛋白| aldh9a1 | dld | snora63 | snord12c
aapp,"Amino Acid, Peptide, or Protein",C0061290,glycine chloramine,甘氨酸-氯胺
aapp,"Amino Acid, Peptide, or Protein",C0061741,glycylproline 4-nitroanilidase,甘氨酰脯氨酸4-硝基苯胺酶
aapp,"Amino Acid, Peptide, or Protein",C0062856,HLA-Cw5,hla-cw5的
aapp,"Amino Acid, Peptide, or Protein",C0063352|896,IgK|CCND3,igk | ccnd3
aapp,"Amino Acid, Peptide, or Protein",C0072727,pyrimidine phosphoribosyltransferase,嘧啶磷酸核糖基转移酶
aapp,"Amino Acid, Peptide, or Protein",C0072993,RC 121,rc 121
aapp,"Amino Acid, Peptide, or Protein",C0073181,rheumatoid arthritis nuclear antigen,类风湿关节炎核抗原
aapp,"Amino Acid, Peptide, or Protein",C0074472|324,sialic acid binding Ig-like lectin|APC,唾液酸结合ig样凝集素| apc
aapp,"Amino Acid, Peptide, or Protein",C0076766|3371|7123,Tn receptor|TNC|CLEC3B,tn受体| tnc | clec3b
aapp,"Amino Acid, Peptide, or Protein",C0077567,tyrosinol,酪氨酸
aapp,"Amino Acid, Peptide, or Protein",C0081937|939,Dipeptidyl-Peptidase IV|CD27,二肽基肽酶iv | cd27
aapp,"Amino Acid, Peptide, or Protein",C0084172,probestin,益生菌素
aapp,"Amino Acid, Peptide, or Protein",C0084960,Immunoglobulin Recombinases,免疫球蛋白重组酶
aapp,"Amino Acid, Peptide, or Protein",C0085302|2353,Oncogene Proteins v-fos|FOS,癌基因蛋白v-fos | fos
aapp,"Amino Acid, Peptide, or Protein",C0123356|10777,ILS|ARPP21,ils | arpp21
aapp,"Amino Acid, Peptide, or Protein",C0123759|3593,Interleukin-12|IL12B,白细胞介素-12 | il12b
aapp,"Amino Acid, Peptide, or Protein",C0125090|6403,L-Selectin|SELP,l-选择素| selp
aapp,"Amino Acid, Peptide, or Protein",C0126759,MAGE-2 antigen,mage-2抗原
aapp,"Amino Acid, Peptide, or Protein",C0136907,"phosphoprotein pp38, Marek's disease virus",磷蛋白pp38，马立克氏病病毒
aapp,"Amino Acid, Peptide, or Protein",C0138318|551,Arginine Vasopressin-Neurophysin II Preproprotein|AVP,精氨酸加压素-神经生长素II前原蛋白| AVP
aapp,"Amino Acid, Peptide, or Protein",C0138556,prolactin-like protein A,催乳素样蛋白a
aapp,"Amino Acid, Peptide, or Protein",C0141380,saccharide receptor,糖受体
aapp,"Amino Acid, Peptide, or Protein",C0170936|613,Fibroblast Growth Factor Receptor 1|BCR,成纤维细胞生长因子受体1 | BCR
aapp,"Amino Acid, Peptide, or Protein",C0173531|896,"CCND3 protein, human|CCND3",ccnd3蛋白质，人类| ccnd3
aapp,"Amino Acid, Peptide, or Protein",C0209244,big big prolactin,大催乳素
aapp,"Amino Acid, Peptide, or Protein",C0251982|117|1316|1844|8624,PAC1 phosphatase|ADCYAP1R1|KLF6|DUSP2|PSMG1,PAC1磷酸酶| ADCYAP1R1 | KLF6 | DUSP2 | PSMG1
aapp,"Amino Acid, Peptide, or Protein",C0252409|22872,anaplastic lymphoma kinase|SEC31A,间变性淋巴瘤激酶| sec31a
aapp,"Amino Acid, Peptide, or Protein",C0254343|6850,ETS Variant Gene 6 Protein|SYK,ets变异基因6蛋白| syk
aapp,"Amino Acid, Peptide, or Protein",C0254616|3688,integrin alpha1beta1|ITGB1,整合素alpha1beta1 | ITGB1
aapp,"Amino Acid, Peptide, or Protein",C0255815,palmitoyl-L-asparaginase,棕榈酰-l-天冬酰胺酶
aapp,"Amino Acid, Peptide, or Protein",C0255961|2592|145173,"triaosylceramide 1,4-galactosyltransferase|GALT|B3GLCT","三糖基神经酰胺1,4-半乳糖基转移酶| galt | b3glct"
aapp,"Amino Acid, Peptide, or Protein",C0280726,monoclonal antibody Lym-1,单克隆抗体lym-1
aapp,"Amino Acid, Peptide, or Protein",C0286618|973,CD79a antigen|CD79A,cd79a抗原| cd79a
aapp,"Amino Acid, Peptide, or Protein",C0288011|4773,NF-AT|NFATC2,nf at | nfatc2
aapp,"Amino Acid, Peptide, or Protein",C0290928|5599,Mitogen-Activated Protein Kinase 9|MAPK8,丝裂原活化蛋白激酶9 | mapk8
aapp,"Amino Acid, Peptide, or Protein",C0295708,kutapressin,库塔加压素
aapp,"Amino Acid, Peptide, or Protein",C0298998,indium-111-octreotide,铟-111-奥曲肽
aapp,"Amino Acid, Peptide, or Protein",C0299142|200081,Interleukin-14|TXLNA,白细胞介素-14 | txlna
aapp,"Amino Acid, Peptide, or Protein",C0312599,Reed-Sternberg antibody,reed-sternberg抗体
aapp,"Amino Acid, Peptide, or Protein",C0313666,Blood group antigen Tn,血型抗原tn
aapp,"Amino Acid, Peptide, or Protein",C0370184,Yersinia enterocolitica antibody,小肠结肠炎耶尔森氏菌抗体
aapp,"Amino Acid, Peptide, or Protein",C0378665|1398,Proto-Oncogene Protein c-crk-2|CRK,原癌基因蛋白c-crk-2 | crk
aapp,"Amino Acid, Peptide, or Protein",C0379523,myocyte enhancer factor 2B,肌细胞增强因子2b
aapp,"Amino Acid, Peptide, or Protein",C0384963,pregestimil,妊娠期
aapp,"Amino Acid, Peptide, or Protein",C0388446|6300,Mitogen-Activated Protein Kinase 12|MAPK12,丝裂原活化蛋白激酶12 | mapk12
aapp,"Amino Acid, Peptide, or Protein",C0432654,Blood group antibody Jk^b^,血型抗体jk ^ b^
aapp,"Amino Acid, Peptide, or Protein",C0443632,Cytoplasmic delta chain,细胞质三角链
aapp,"Amino Acid, Peptide, or Protein",C0527108,BCL2A1 protein,bcl2a1蛋白
aapp,"Amino Acid, Peptide, or Protein",C0530724,Coatomer delta Subunit,涂层三角洲亚基
aapp,"Amino Acid, Peptide, or Protein",C0591578,Granocyte,粒细胞
aapp,"Amino Acid, Peptide, or Protein",C0635269,HSV-8,hsv-8
aapp,"Amino Acid, Peptide, or Protein",C0644183,"interleukin-2, succinyl-",白细胞介素-2，琥珀酰-
aapp,"Amino Acid, Peptide, or Protein",C0656609,RA X peptide,ra x肽
aapp,"Amino Acid, Peptide, or Protein",C0662539,tumor-globulin,肿瘤球蛋白
aapp,"Amino Acid, Peptide, or Protein",C0665578,vMIP-1B,vmip-1b
aapp,"Amino Acid, Peptide, or Protein",C0675853,CD44v6 antigen,cd44v6抗原
aapp,"Amino Acid, Peptide, or Protein",C0699262,Elspar,埃尔斯帕
aapp,"Amino Acid, Peptide, or Protein",C0728753,Oncaspar,昂卡斯帕
aapp,"Amino Acid, Peptide, or Protein",C0758917|842,procaspase-9|CASP9,蛋白酶原-9 | CASP9
aapp,"Amino Acid, Peptide, or Protein",C0879283,IDEC-Y2B8,idec-y2b8
aapp,"Amino Acid, Peptide, or Protein",C0887847|8802,GTP-Binding Protein alpha Subunits|SUCLG1,gtp结合蛋白α亚基| suclg1
aapp,"Amino Acid, Peptide, or Protein",C0911312,zonula occludens toxin receptor,zonula occludens毒素受体
aapp,"Amino Acid, Peptide, or Protein",C0915024,lactate dehydrogenase A,乳酸脱氢酶a
aapp,"Amino Acid, Peptide, or Protein",C1101536|3600,"Interleukin 2 Receptor, Alpha|IL15",白细胞介素2受体，α| il15
aapp,"Amino Acid, Peptide, or Protein",C1120672,epsilonV1-2 peptide,epsilonv1-2肽
aapp,"Amino Acid, Peptide, or Protein",C1170049,Amevive,阿米维
aapp,"Amino Acid, Peptide, or Protein",C1174785,Fasturtec,拉布立酶
aapp,"Amino Acid, Peptide, or Protein",C1175376|257144,"HGAL protein, human|GCSAM",hgal蛋白，人类| gcsam
aapp,"Amino Acid, Peptide, or Protein",C1301094,Human herpesvirus 8 antibody,人疱疹病毒8抗体
aapp,"Amino Acid, Peptide, or Protein",C1313823|6579,"Slco3a1 protein, rat|SLCO1A2",slco3a1蛋白，大鼠| slco1a2
aapp,"Amino Acid, Peptide, or Protein",C1327954,iratumumab,伊曲单抗
aapp,"Amino Acid, Peptide, or Protein",C1382029|51761,Adenylyl Cyclase 9|ATP8A2,腺苷酸环化酶9 | atp8a2
aapp,"Amino Acid, Peptide, or Protein",C1437927|10206,"CASP4 protein, human|TRIM13",CASP4蛋白质，人类| TRIM13
aapp,"Amino Acid, Peptide, or Protein",C1440752,human histocompatibility complex derived antigens-A+B+C,人组织相容性复合物衍生抗原-A+B+C
aapp,"Amino Acid, Peptide, or Protein",C1448848|100507436,"MICA protein, human|MICA",云母蛋白，人类|云母
aapp,"Amino Acid, Peptide, or Protein",C1504735|608,"TNFRSF17 protein, human|TNFRSF17",TNFRSF17蛋白，人| TNFRSF17
aapp,"Amino Acid, Peptide, or Protein",C1513414|966,Monoclonal Antibody 1F5|CD59,单克隆抗体1f5 | cd59
aapp,"Amino Acid, Peptide, or Protein",C1513423,Monoclonal Antibody 7C11,单克隆抗体7c11
aapp,"Amino Acid, Peptide, or Protein",C1528572,myulchikinase,粘液激酶
aapp,"Amino Acid, Peptide, or Protein",C1534911|3558,N NOS|IL2,N个| IL2
aapp,"Amino Acid, Peptide, or Protein",C1569819|3660,"IRF2 protein, Human herpesvirus 8|IRF2",irf2蛋白，人类疱疹病毒8 | irf2
aapp,"Amino Acid, Peptide, or Protein",C2984595,B-Cell Lymphoma/Leukemia 11B,B细胞淋巴瘤/白血病11B
aapp,"Amino Acid, Peptide, or Protein",C3176999,Epstein Barr virus nuclear 1,爱泼斯坦-巴尔病毒核1
aapp,"Amino Acid, Peptide, or Protein",C3252398,omomyc protein,omomyc蛋白
aapp,"Amino Acid, Peptide, or Protein",C3273394,B-Cell Lymphoma/Leukemia 11A,b细胞淋巴瘤/白血病11a
aapp,"Amino Acid, Peptide, or Protein",C3641673,Soluble Tumor Necrosis Factor Receptor Superfamily Member 8,可溶性肿瘤坏死因子受体超家族成员8
aapp,"Amino Acid, Peptide, or Protein",C3831173|84662,CBFA2T3/GLIS2 Fusion Protein|GLIS2,CBFA2T3/GLIS2 Fusion Protein|GLIS2
aapp,"Amino Acid, Peptide, or Protein",C3840373|973|102723407,IgA.kappa|CD79A|LOC102723407,iga.kappa | cd79a | loc102723407
aapp,"Amino Acid, Peptide, or Protein",C4318450|4594,Mismatch Repair Protein|MUT,错配修复蛋白| MUT
aapp,"Amino Acid, Peptide, or Protein",C4318634,Deubiquitinating Enzyme CYLD,去泛素化酶cyld
aapp,"Amino Acid, Peptide, or Protein",C4319616|639,Positive Regulatory Domain I-Binding Factor 1|PRDM1,正调控域I结合因子1 | PRDM1
aapp,"Amino Acid, Peptide, or Protein",C4551875|238,NPM1/ALK Fusion Gene|ALK,npm1/alk融合基因| alk
aapp,"Amino Acid, Peptide, or Protein",C5441916,Kidrolase,胰蛋白酶
aapp;antb,"Amino Acid, Peptide, or Protein;Antibiotic",C1511218,Oil Bleo,油泡
aapp;antb;gngm,"Amino Acid, Peptide, or Protein;Antibiotic;Gene or Genome",C0001259,Actinomycin,放线菌素
aapp;antb;gngm,"Amino Acid, Peptide, or Protein;Antibiotic;Gene or Genome",C0004599,Bacitracin,杆菌肽
aapp;antb;gngm,"Amino Acid, Peptide, or Protein;Antibiotic;Gene or Genome",C0005736,Bleomycin A2,博来霉素a2
aapp;antb;gngm,"Amino Acid, Peptide, or Protein;Antibiotic;Gene or Genome",C0005739,Bleomycin Sulfate,硫酸博来霉素
aapp;antb;gngm,"Amino Acid, Peptide, or Protein;Antibiotic;Gene or Genome",C0005740,Bleomycin,博来霉素
aapp;antb;gngm,"Amino Acid, Peptide, or Protein;Antibiotic;Gene or Genome",C0009316,Colistin,粘菌素
aapp;antb;gngm,"Amino Acid, Peptide, or Protein;Antibiotic;Gene or Genome",C0010590,Cycloserine,环丝氨酸
aapp;antb;gngm,"Amino Acid, Peptide, or Protein;Antibiotic;Gene or Genome",C0010934,Dactinomycin,更生霉素
aapp;antb;gngm,"Amino Acid, Peptide, or Protein;Antibiotic;Gene or Genome",C0013508,Echinomycin,棘霉素
aapp;antb;gngm,"Amino Acid, Peptide, or Protein;Antibiotic;Gene or Genome",C0032535,Polymyxin B,多粘菌素b
aapp;antb;gngm,"Amino Acid, Peptide, or Protein;Antibiotic;Gene or Genome",C0035654,Ristocetin,利托菌素
aapp;antb;gngm,"Amino Acid, Peptide, or Protein;Antibiotic;Gene or Genome",C0039947,Thiostrepton,硫链丝菌肽
aapp;antb;gngm,"Amino Acid, Peptide, or Protein;Antibiotic;Gene or Genome",C0042287,Valinomycin,缬氨霉素
aapp;antb;gngm,"Amino Acid, Peptide, or Protein;Antibiotic;Gene or Genome",C0042313,Vancomycin,万古霉素
aapp;antb;gngm,"Amino Acid, Peptide, or Protein;Antibiotic;Gene or Genome",C0135981,Peplomycin,培洛霉素
aapp;antb;gngm,"Amino Acid, Peptide, or Protein;Antibiotic;Gene or Genome",C0145106,Teicoplanin,替考拉宁
aapp;antb;gngm,"Amino Acid, Peptide, or Protein;Antibiotic;Gene or Genome",C0162724,Glycopeptide antibiotic,抗生素
aapp;antb;gngm,"Amino Acid, Peptide, or Protein;Antibiotic;Gene or Genome",C0391524,LY 333328,ly 333328
aapp;antb;gngm,"Amino Acid, Peptide, or Protein;Antibiotic;Gene or Genome",C0796678,Depsipeptides,缩酚酸肽
aapp;antb;gngm,"Amino Acid, Peptide, or Protein;Antibiotic;Gene or Genome",C0963679,FK228,fk228
aapp;antb;gngm,"Amino Acid, Peptide, or Protein;Antibiotic;Gene or Genome",C1120386,micafungin,米卡芬净
aapp;antb;gngm,"Amino Acid, Peptide, or Protein;Antibiotic;Gene or Genome",C1527027,depsipeptide,缩酚酸肽
aapp;antb;gngm;phsu,"Amino Acid, Peptide, or Protein;Antibiotic;Gene or Genome;Pharmacologic Substance",C0004480,Azaserine,偶氮丝氨酸
aapp;bacs,"Amino Acid, Peptide, or Protein;Biologically Active Substance",C0030156|201161,P30 Core Proteins|CENPV,p30核心蛋白| cenpv
aapp;bacs,"Amino Acid, Peptide, or Protein;Biologically Active Substance",C0247774,ribosomal protein S27,核糖体蛋白s27
aapp;bacs,"Amino Acid, Peptide, or Protein;Biologically Active Substance",C0250050,Livex,利维克斯
aapp;bacs,"Amino Acid, Peptide, or Protein;Biologically Active Substance",C0257658,"IE1 protein, cytomegalovirus",ie1蛋白，巨细胞病毒
aapp;bacs,"Amino Acid, Peptide, or Protein;Biologically Active Substance",C0286539,"BZLF1 protein, Herpesvirus 4, Human",bzlf1蛋白，疱疹病毒4，人类
aapp;bacs,"Amino Acid, Peptide, or Protein;Biologically Active Substance",C0313267,Alkali-resistant hemoglobin,耐碱血红蛋白
aapp;bacs,"Amino Acid, Peptide, or Protein;Biologically Active Substance",C0538490,Rho GDP dissociation inhibitor (GDI) gamma,rho gdp解离抑制剂（gdi）γ
aapp;bacs,"Amino Acid, Peptide, or Protein;Biologically Active Substance",C0971527,"HGF-NK4 protein, human",hgf-nk4蛋白，人
aapp;bacs,"Amino Acid, Peptide, or Protein;Biologically Active Substance",C1097943,interleukin 13 antagonist E13K,白细胞介素13拮抗剂e13k
aapp;bacs,"Amino Acid, Peptide, or Protein;Biologically Active Substance",C1506848|200958,"MUC20 protein, human|MUC20",muc20蛋白，人类| muc20
aapp;bacs,"Amino Acid, Peptide, or Protein;Biologically Active Substance",C1741716|595,"CCND1 protein, human|CCND1",ccnd1蛋白，人类| ccnd1
aapp;bacs;bodm;gngm;phsu,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Biomedical or Dental Material;Gene or Genome;Pharmacologic Substance",C0009325,Collagen,胶原蛋白
aapp;bacs;carb;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Carbohydrate;Gene or Genome",C0017968,Glycoproteins,糖蛋白类
aapp;bacs;carb;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Carbohydrate;Gene or Genome",C0026714,Mucoproteins,或粘蛋白
aapp;bacs;carb;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Carbohydrate;Gene or Genome",C0061830,GP 140,gp 140
aapp;bacs;carb;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Carbohydrate;Gene or Genome",C0386983,glypican 3,磷脂酰肌醇蛋白聚糖3
aapp;bacs;celc;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Cell Component;Gene or Genome",C1179956,Nuclear lamin,核纤层蛋白
aapp;bacs;enzy;gngm;phsu,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Enzyme;Gene or Genome;Pharmacologic Substance",C0015528,Factor XIII,因素十三
aapp;bacs;enzy;gngm;phsu,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Enzyme;Gene or Genome;Pharmacologic Substance",C0040018,Thrombin,凝血酶
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0000257,2-Aminoadipic Acid,2-氨基己二酸
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0000829,Abrin,阿布林
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0001239,Actin-Binding Protein,肌动蛋白结合蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0001271,Actins,肌动蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0001291,Actomyosin,肌动球蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0001347,Acute-Phase Proteins,急性期蛋白质
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0001694,Aequorin,水母发光蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0001898,Alanine,丙氨酸
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0001924,Albumins,白蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0001924|213,Albumins|ALB,白蛋白| alb
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0002190,alpha 1-Antichymotrypsin,α1-抗胰凝乳蛋白酶
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0002198,alpha 2-Glucoproteins,α2-糖蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0002210,alpha-Fetoproteins,甲胎蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0002210|174,alpha-Fetoproteins|AFP,甲胎蛋白|法新社
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0002211,Alpha-Globulins,α球蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0002240,alpha-Actin,肌动蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0002241,Alpha-Amanitin,α鹅膏蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0002248,alpha-Caseins,α-酪蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0002287,alpha-Lactalbumin,α-乳清蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0002318,alpha-Tubulin,α-微管蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0002521,"Amino Acids, Branched-Chain",氨基酸，支链
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0002527,"Amino Acids, Sulfur",氨基酸，硫
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0002716,Amyloid,淀粉样蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0002721,Serum Amyloid P-Component,血清淀粉样蛋白p组分
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0002722,Amyloid Protein AA,淀粉样蛋白aa
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0003593|338,Apolipoproteins B|APOB,载脂蛋白b | apob
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0003595|348,Apolipoprotein E|APOE,载脂蛋白e | apoe
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0003601,Apoproteins,载脂蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0003987,Asialoglycoproteins,去唾液酸糖蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0003995,Asparagine,天冬酰胺
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0004015,Aspartic Acid,天冬氨酸
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0004434,Avidin,抗生物素蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0004525,Azurin,天青蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0004627,Bacterial Proteins,细菌蛋白质
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0004891|25|4547,"Fusion Proteins, bcr-abl|ABL1|MTTP",融合蛋白，bcr-abl | abl1 | mttp
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0005157,beta Globulin,β-球蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0005186,beta-Actin,内参
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0005198,beta-Caseins,β-酪蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0005221,beta-Globin,珠蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0005248,beta Lactoglobulin,β-乳球蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0005286,beta-Thromboglobulin,β-血栓球蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0005290,beta-Tubulin,微管蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0005554,Biopolymers,生物聚合物
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0005832,Blood Proteins,血液蛋白质
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0006631,Cadherins,钙粘蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0006685,Calcium Channel,钙通道
